time,magnetometer,position,,picture
seconds,abs,latitude,longitude,id
1682186843.827213,37.863787395082866,42.81061654404392,167.66664421748231,1017,
1682186844.6516597,38.73645512666237,42.8392920255133,167.72448242905307,,
1682186845.1492627,38.70979579278926,42.85661904084742,167.75949056230522,,
1682186845.6577408,37.71715913557421,42.87392987959673,167.79451107019995,,
1682186846.1574588,37.80859907885425,42.89122875626084,167.82955250090097,,
1682186846.6638288,38.17615736637228,42.908518387304845,167.86462040632202,,
1682186847.1473997,37.47378891660892,42.925792535785945,167.89970217194752,,
1682186847.659705,38.3567484266019,42.94305726964876,167.934810156177,,
1682186848.1530874,37.9554319314418,42.96030794752526,167.96993496160766,,
1682186848.6482701,37.769587833414306,42.9775481786077,168.00508397399034,,
1682186849.1505752,38.03138228172805,42.994774776710905,168.04025073612996,,
1682186849.6575892,38.117509973714924,43.01199024357632,168.0754403912914,,
1682186850.1483438,37.61575840373937,43.029196007622886,168.11065591121078,,
1682186850.6620848,38.34965073144448,43.04638404157939,168.14588089200805,,
1682186851.1599393,37.459754727735394,43.06356279214414,168.18113267182954,,
1682186851.65903,37.81398570059419,43.08078265586292,168.21651493123315,,
1682186852.1518443,37.65842345965451,43.097936535515366,168.2518076504311,,
1682186852.6556506,38.23889677531261,43.11520702707325,168.28738684849125,,
1682186853.164267,38.19514674552953,43.13233650940673,168.32272183544373,,
1682186853.6775603,37.99401228310763,43.14980164888883,168.35879682244015,,
1682186854.1716473,38.024315324444515,43.16690703197303,168.39417544501447,,
1682186854.6747444,38.16495920055103,43.184305950093496,168.43020876048973,,
1682186855.184794,37.91647337235425,43.201389867076976,168.4656365376375,,
1682186855.6839216,37.90574286226667,43.218863815322806,168.50192129313814,,
1682186856.207001,38.35069446026728,43.2359187590013,168.53738308193036,,
1682186856.7048874,38.11464559628217,43.25345794351204,168.57390041252015,,
1682186857.2061214,38.24078925297231,43.27048778839646,168.60940464722256,,
1682186857.7188795,37.96853777519523,43.28770757261694,168.64535247339572,,
1682186858.2266226,38.323267091353735,43.30471233893179,168.68089854505294,,
1682186858.7313182,38.604953338413324,43.3222844173206,168.7176798406458,,
1682186859.2329526,37.908652787266604,43.33926400961276,168.75326874876387,,
1682186859.7296927,38.41562787635646,43.35640886954852,168.7892518542084,1016,
1682186860.614741,37.60132621231573,43.38576636670649,168.8509784248938,,
1682186861.1168008,37.52161935342235,43.403254420803755,168.88781594833674,,
1682186861.612169,37.90006895303568,43.42017305871296,168.92350213373956,,
1682186862.1142843,37.73737734032997,43.43708127943181,168.95921375416984,,
1682186862.6173604,37.86855495500418,43.45397544995803,168.9949431773771,,
1682186863.1210556,38.79783863082795,43.470858529688236,169.03069670046227,,
1682186863.6123748,38.04179113602734,43.48772770184528,169.06646839731815,,
1682186864.1192248,38.11740402480931,43.50458487625488,169.10226235312084,,
1682186864.6272497,38.08714935077815,43.52142963330096,169.13807771866243,,
1682186865.1239233,38.389309938442814,43.53826172282578,169.1739140011411,,
1682186865.633096,37.81525218844336,43.55508264393275,169.2097744368022,,
1682186866.124372,38.14173728083982,43.57206485229277,169.24602747601702,,
1682186866.6221592,37.94413621919311,43.588859023647714,169.28192742655213,,
1682186867.1194165,37.98254698290658,43.60571126108925,169.3179999574817,,
1682186867.6217391,38.215245804698476,43.62248011698059,169.35394233668046,,
1682186868.1326282,38.133573100659646,43.63943409890975,169.39033067620733,,
1682186868.6234183,38.22118008076023,43.65617755213071,169.42631582188454,,
1682186869.1336234,37.89611320085194,43.67306322126982,169.4626557489574,,
1682186869.6398163,37.684247930106054,43.68978091154882,169.4986829204182,,
1682186870.144273,38.46672997281256,43.70696109066551,169.53575747104935,,
1682186870.669659,38.87871648925789,43.72382640946484,169.57220270296608,,
1682186871.1695676,38.363639413211175,43.74094120840917,169.60923800039234,,
1682186871.660458,38.707327167314624,43.75760697373878,169.64535109498888,,
1682186872.1726277,38.57939377653365,43.774360115485024,169.68170288347065,,
1682186872.666414,37.95800488883951,43.79100021907799,169.71785853581608,,
1682186873.173793,38.238873243843926,43.80789780975695,169.7546239296136,,
1682186873.6733992,38.10929776577804,43.82451292554626,169.7908242714476,,
1682186874.1859214,37.62398932952391,43.84139556408521,169.82765796559357,,
1682186874.7025025,38.63520005489511,43.85798359827412,169.8638986259304,,
1682186875.2079918,38.51794238051039,43.875180562007806,169.9015218373814,,
1682186875.7155514,38.276466631270125,43.89189423248928,169.93813878616427,,
1682186876.2224822,38.61662733746566,43.90862015586921,169.97483314521827,,
1682186876.7227736,38.03119180643894,43.92515600575232,170.0111603921023,,
1682186877.2266703,38.692761215784316,43.942203229213945,170.04866315198714,,
1682186877.738239,38.12159101868574,43.95871282464087,170.08503373153647,,
1682186878.249653,38.937924245065275,43.9755806291663,170.122244995746,,
1682186878.7589066,38.53333799717924,43.99206320634725,170.15865692124933,,
1682186879.2636802,38.21517599782526,44.00900765115655,170.196141360239,,
1682186879.7633812,38.6845826250897,44.02546458539611,170.23259814547623,1015,
1682186880.6307492,38.382447497233606,44.053779090399736,170.29544047328977,,
1682186881.1272116,38.53824381336374,44.0706826965828,170.3330282237303,,
1682186881.6296422,38.43643688514359,44.08708933854708,170.36956202347494,,
1682186882.1330216,37.80864839560308,44.10348489218651,170.40612160490969,,
1682186882.6296716,37.916331910269335,44.11986508065542,170.44269746954157,,
1682186883.1388338,38.39904577777605,44.13623486886103,170.4793007452601,,
1682186883.6354206,38.0684873710248,44.15258906949513,170.51591987379766,,
1682186884.135561,38.1220307067105,44.168932247882296,170.55256511547165,,
1682186884.6358016,38.85834624381778,44.185260401637635,170.58922753673457,,
1682186885.134828,38.538079830384326,44.2015761954075,170.6259131553028,,
1682186885.6426458,38.57025430922373,44.21787987336044,170.6626225686187,,
1682186886.1380444,38.39218150060226,44.234382117267565,170.69983119480307,,
